Date,Event_Type,DeltaFuel,refill_TimeStamp,after_avg,before_avg,Origin,supply_TimeStamp,FuelLevelLiters,Fuel_Discrepancy,Time_Discrepancy
2024-02-01,Both_Events,2150.08,2024-02-01T09:09:00.000000,2992.7039999999993,841.792,SST,2024-02-01T06:00:00.000000,2452.0,540.7039999999993,11340
2024-02-02,Both_Events,2092.48,2024-02-02T08:04:30.000000,3037.6639999999998,938.4639999999999,SST,2024-02-02T07:00:00.000000,2347.0,690.6639999999998,3870
2024-02-03,Both_Events,1179.8400000000001,2024-02-03T01:59:00.000000,2929.9839999999995,1753.8880000000001,SST,2024-02-03T08:00:00.000000,2451.0,478.98399999999947,21660
2024-02-04,Both_Events,1908.7999999999997,2024-02-04T00:57:00.000000,2675.2640000000006,768.768,SST,2024-02-04T08:00:00.000000,2202.0,473.2640000000006,25380
2024-02-04,Both_Events,2024.0,2024-02-04T16:39:00.000000,3046.1760000000004,1036.0,SST,2024-02-04T08:00:00.000000,1652.0,1394.1760000000004,31140
2024-02-05,Both_Events,1986.8799999999999,2024-02-05T16:21:30.000000,3050.432,1071.2320000000002,SST,2024-02-05T08:00:00.000000,2177.0,873.4319999999998,30090
2024-02-06,Both_Events,2203.52,2024-02-06T15:32:30.000000,2988.5440000000003,782.9759999999999,SST,2024-02-06T08:00:00.000000,2538.0,450.5440000000003,27150
2024-02-07,Both_Events,1598.7200000000003,2024-02-07T17:02:30.000000,2626.5280000000002,1040.2879999999998,SURTIDOR-TRUCKSHOP,2024-02-07T17:00:37.607000,1700.0,926.5280000000002,112
2024-02-08,Both_Events,1767.6800000000003,2024-02-08T08:01:00.000000,2781.472,1002.8800000000001,SST,2024-02-08T07:00:00.000000,1912.0,869.4720000000002,3660
2024-02-09,Both_Events,1625.9199999999998,2024-02-09T02:55:00.000000,2462.3679999999995,837.984,SURTIDOR-TRUCKSHOP,2024-02-09T02:52:25.133000,1859.0,603.3679999999995,154
2024-02-09,Both_Events,2124.48,2024-02-09T20:32:00.000000,3082.528,886.8800000000001,SST,2024-02-09T18:00:00.000000,2541.0,541.5279999999998,9120
2024-02-12,Both_Events,2001.6000000000001,2024-02-12T08:33:00.000000,2839.5520000000006,848.832,SST,2024-02-12T07:00:00.000000,2268.0,571.5520000000006,5580
2024-02-13,Both_Events,1787.8400000000001,2024-02-13T08:51:30.000000,2647.9039999999995,877.4400000000002,SURTIDOR-TRUCKSHOP,2024-02-13T08:49:11.910000,1966.0,681.9039999999995,138
2024-02-14,Both_Events,1892.1599999999999,2024-02-14T05:10:30.000000,2865.536,973.5360000000001,SURTIDOR-TRUCKSHOP,2024-02-14T05:08:45.600000,2232.0,633.5360000000001,104
2024-02-15,Both_Events,2222.4,2024-02-15T02:41:30.000000,3065.312,804.8639999999999,SURTIDOR-TRUCKSHOP,2024-02-15T02:39:51.743000,2612.0,453.3119999999999,98
2024-02-15,Both_Events,1886.08,2024-02-15T23:01:00.000000,2830.656,961.1200000000001,SST,2024-02-15T18:00:00.000000,2023.0,807.656,18060
2024-02-16,Refill_Only,1936.96,2024-02-16T20:31:30.000000,2826.7200000000003,886.048,,,,,
2024-02-17,Both_Events,1709.7600000000002,2024-02-17T15:37:00.000000,2581.216,857.7280000000001,SST,2024-02-17T08:00:00.000000,2156.0,425.2159999999999,27420
2024-02-17,Supply_Only,,,,,SURTIDOR-TRUCKSHOP,2024-02-17T15:34:31.617000,1915.0,,
2024-02-18,Both_Events,1787.5199999999998,2024-02-18T10:15:00.000000,2583.168,798.272,SURTIDOR-TRUCKSHOP,2024-02-18T10:12:46.570000,2065.0,518.1680000000001,133
2024-02-18,Supply_Only,,,,,P068,2024-02-18T19:00:00.000000,2369.0,,
2024-02-19,Refill_Only,2061.12,2024-02-19T04:34:00.000000,3068.448,964.0319999999998,,,,,
2024-02-20,Both_Events,2044.8,2024-02-20T05:24:30.000000,3042.9759999999997,984.0959999999999,SURTIDOR-TRUCKSHOP,2024-02-20T05:21:35.720000,2254.0,788.9759999999997,174
2024-02-20,Refill_Only,1791.04,2024-02-20T22:48:00.000000,3044.767999999999,1223.936,,,,,
2024-02-21,Both_Events,2167.68,2024-02-21T21:32:00.000000,3088.224,890.9119999999999,SST,2024-02-21T08:00:00.000000,2013.0,1075.2240000000002,48720
2024-02-21,Supply_Only,,,,,SURTIDOR-TRUCKSHOP,2024-02-21T21:30:16.267000,2485.0,,
2024-02-23,Both_Events,1760.3199999999997,2024-02-23T14:45:00.000000,2492.1600000000003,739.5199999999999,SURTIDOR-TRUCKSHOP,2024-02-23T14:42:40.143000,2054.0,438.1600000000003,139
2024-02-24,Both_Events,1812.48,2024-02-24T08:44:00.000000,3010.816,1182.3039999999999,SST,2024-02-24T07:00:00.000000,2018.0,992.8159999999998,6240
2024-02-25,Both_Events,2167.6800000000003,2024-02-25T03:44:00.000000,2993.4719999999998,812.7679999999999,SST,2024-02-25T08:00:00.000000,2510.0,483.47199999999975,15360
2024-02-25,Refill_Only,2150.08,2024-02-25T21:02:30.000000,2952.6400000000003,778.496,,,,,
2024-02-26,Both_Events,2192.0,2024-02-26T22:53:00.000000,2956.512,769.664,SST,2024-02-26T08:00:00.000000,2575.0,381.51200000000017,53580
2024-02-27,Supply_Only,,,,,SST,2024-02-27T08:00:00.000000,2569.0,,
2024-02-28,Refill_Only,1194.88,2024-02-28T21:44:30.000000,2994.2400000000002,862.3040000000001,,,,,
2024-02-29,Both_Events,2135.3599999999997,2024-02-29T22:23:00.000000,2982.592,841.792,SST,2024-02-29T07:00:00.000000,2398.0,584.5920000000001,55380
2024-03-01,Both_Events,1927.04,2024-03-01T23:22:00.000000,2753.504,838.208,SST,2024-03-01T08:00:00.000000,2430.0,323.5039999999999,55320
2024-03-01,Supply_Only,,,,,SURTIDOR-TRUCKSHOP,2024-03-01T23:19:46.343000,2201.0,,
2024-03-02,Both_Events,1671.04,2024-03-02T17:23:00.000000,2846.9439999999995,1187.072,SST,2024-03-02T07:00:00.000000,1908.0,938.9439999999995,37380
2024-03-03,Both_Events,187.19999999999982,2024-03-03T10:41:30.000000,2804.1279999999997,866.144,SST,2024-03-03T08:00:00.000000,2173.0,631.1279999999997,9690
2024-03-04,Both_Events,836.48,2024-03-04T16:14:00.000000,2893.568,917.8880000000001,SST,2024-03-04T08:00:00.000000,2200.0,693.5680000000002,29640
2024-03-05,Both_Events,1591.3600000000001,2024-03-05T10:46:00.000000,2542.9119999999994,970.048,SURTIDOR-TRUCKSHOP,2024-03-05T10:44:01.627000,1698.0,844.9119999999994,118
2024-03-06,Both_Events,1923.8399999999997,2024-03-06T08:13:00.000000,2762.7519999999995,844.1599999999999,SURTIDOR-TRUCKSHOP,2024-03-06T08:10:33.917000,2171.0,591.7519999999995,146
2024-03-07,Both_Events,346.8800000000001,2024-03-07T04:40:00.000000,2793.8240000000005,926.048,SST,2024-03-07T08:00:00.000000,2068.0,725.8240000000005,12000
2024-03-08,Both_Events,1962.2399999999998,2024-03-08T01:53:30.000000,2711.2,747.7760000000001,SST,2024-03-08T08:00:00.000000,2050.0,661.1999999999998,21990
2024-03-09,Both_Events,2115.52,2024-03-09T09:19:00.000000,3080.8319999999994,927.936,P068,2024-03-09T08:00:00.000000,2413.0,667.8319999999994,4740
2024-03-10,Both_Events,2179.2,2024-03-10T08:52:30.000000,3060.3199999999993,840.448,SST,2024-03-10T06:00:00.000000,2525.0,535.3199999999993,10350
2024-03-11,Refill_Only,1947.8400000000001,2024-03-11T23:00:30.000000,2771.6159999999995,823.36,,,,,
2024-03-12,Both_Events,2041.92,2024-03-12T20:02:30.000000,2794.7520000000004,736.992,SST,2024-03-12T06:00:00.000000,2206.0,588.7520000000004,50550
2024-03-13,Both_Events,2280.0,2024-03-13T16:01:30.000000,3030.2400000000002,715.1999999999999,SST,2024-03-13T06:00:00.000000,2393.0,637.2400000000002,36090
2024-03-13,Supply_Only,,,,,SST,2024-03-13T06:00:00.000000,2770.0,,
2024-03-14,Both_Events,2267.8399999999997,2024-03-14T13:57:30.000000,3071.68,804.7999999999998,SST,2024-03-14T06:00:00.000000,2756.0,315.67999999999984,28650
