RefillTimeStamp,DeltaFuel,before_avg,after_avg,SupplyTimeStamp,Origin,FuelLevelLiters,event_type,time_discrepancy,fuel_discrepancy,clasificacion
2024-02-01T09:09:00.000000,2150.08,841.792,2992.7039999999993,2024-02-01T06:00:00.000000,,,Both_Events,11340,,Registro a tiempo
2024-02-02T08:04:30.000000,2092.48,938.4639999999999,3037.6639999999998,2024-02-02T07:00:00.000000,,,Both_Events,3870,,Registro a tiempo
2024-02-03T01:59:00.000000,1179.8400000000001,1753.8880000000001,2929.9839999999995,2024-02-03T08:00:00.000000,,,Both_Events,21660,,Registro atrasado
2024-02-04T00:57:00.000000,1908.7999999999997,768.768,2675.2640000000006,2024-02-04T08:00:00.000000,,,Both_Events,25380,,Registro atrasado
2024-02-04T16:39:00.000000,2024.0,1036.0,3046.1760000000004,2024-02-04T08:00:00.000000,,,Both_Events,31140,,Registro a tiempo
2024-02-05T16:21:30.000000,1986.8799999999999,1071.2320000000002,3050.432,2024-02-05T08:00:00.000000,,,Both_Events,30090,,Registro a tiempo
2024-02-06T15:32:30.000000,2203.52,782.9759999999999,2988.5440000000003,2024-02-06T08:00:00.000000,,,Both_Events,27150,,Registro a tiempo
2024-02-07T17:02:30.000000,1598.7200000000003,1040.2879999999998,2626.5280000000002,2024-02-07T17:00:37.607000,,,Both_Events,112,,Registro a tiempo
2024-02-08T08:01:00.000000,1767.6800000000003,1002.8800000000001,2781.472,2024-02-08T07:00:00.000000,,,Both_Events,3660,,Registro a tiempo
2024-02-09T02:55:00.000000,1625.9199999999998,837.984,2462.3679999999995,2024-02-09T02:52:25.133000,,,Both_Events,154,,Registro a tiempo
2024-02-09T20:32:00.000000,2124.48,886.8800000000001,3082.528,2024-02-09T18:00:00.000000,,,Both_Events,9120,,Registro a tiempo
2024-02-12T08:33:00.000000,2001.6000000000001,848.832,2839.5520000000006,2024-02-12T07:00:00.000000,,,Both_Events,5580,,Registro a tiempo
2024-02-13T08:51:30.000000,1787.8400000000001,877.4400000000002,2647.9039999999995,2024-02-13T08:49:11.910000,,,Both_Events,138,,Registro a tiempo
2024-02-14T05:10:30.000000,1892.1599999999999,973.5360000000001,2865.536,2024-02-14T05:08:45.600000,,,Both_Events,104,,Registro a tiempo
2024-02-15T02:41:30.000000,2222.4,804.8639999999999,3065.312,2024-02-15T02:39:51.743000,,,Both_Events,98,,Registro a tiempo
2024-02-15T23:01:00.000000,1886.08,961.1200000000001,2830.656,2024-02-15T18:00:00.000000,,,Both_Events,18060,,Registro a tiempo
2024-02-16T20:31:30.000000,1936.96,886.048,2826.7200000000003,2024-02-17T08:00:00.000000,,,Both_Events,41310,,Registro atrasado
